,sentence1,sentence2,similarity_score,TFIDF_cosine_score,rank_by_TFIDF_cosine_score,rank_by_similarity_score,d,d^2
1512,dog jump air catch toy,black dog jump air catch toy,4.0,0.9443174583491662,5542,4570,972,944784
1513,brown dog lay blue cover,person diving clear blue water,0.0,0.17075420787984003,875,94,781,609961
1514,boy play field,people head cover scarf,0.0,0.0,54,95,-41,1681
1515,dog run grass,dog run snow,2.200000047683716,0.5363115692298379,2927,2091,836,698896
1516,boy broken arm rest bed,boy broken arm sleep,4.0,0.621300594513285,3570,4628,-1058,1119364
1517,boy trick skateboard,boy trick skateboard,4.800000190734863,1.0000000000000002,5742,5433,309,95481
1518,dog play snow,dog play water,2.5999999046325684,0.5565807676119856,3082,2394,688,473344
1519,little girl ribbon hair pick nose,little girl purple shirt helmet ride soon,1.2000000476837158,0.2043959914592442,998,1110,-112,12544
1520,young girl go tube slide,young girl swinge tire swing,1.7999999523162842,0.2802856226158197,1330,1656,-326,106276
1521,people bicycle racing include man wheeled bike,man ride wheel wheelchair,2.5999999046325684,0.05124387867495711,412,2395,-1983,3932289
1522,group people wear funny ear,group people ride race,0.800000011920929,0.33131264570487384,1606,752,854,729316
1523,dog sherman shirt sleep blanket,brown dog superman shirt lay blue blanket,4.0,0.41560386731237886,2103,4525,-2422,5866084
1524,white brown dog run grass,brown white dog run grass,4.800000190734863,1.0,5647,5435,212,44944
1525,brown dog rest paw lawton keyboard,dog sit paw lawton computer,3.799999952316284,0.5890879807584575,3317,4165,-848,719104
1526,young girl glass sit hold american flag,girl glass look american flag near wooded area,2.5999999046325684,0.5754910337979542,3213,2403,810,656100
1527,small white brown dog jump horizontal pole,brown white dog jump red yellow pole,3.0,0.6317542821860483,3652,2943,709,502681
1528,dog run grassy area,dog run grassy field,4.800000190734863,0.7091855431274482,4211,5438,-1227,1505529
1529,man swinge rope water,man warm clothe swinge monkey bar night,1.600000023841858,0.3034216651888085,1440,1469,-29,841
1530,sign man sign woman sit black massage chair,sign man woman relax massage chair,4.599999904632568,0.7535591000340691,4549,5292,-743,552049
1531,girl playing pile colourful ball,little girl play pit colourful ball,5.0,0.4662828527906991,2417,5519,-3102,9622404
1532,old man stand outside truck,woman dress green roller state outside event,0.0,0.18636806470728326,934,306,628,394384
1533,smile man effective class,gentleman smile show effective sunglass,4.599999904632568,0.4964684307889705,2639,5282,-2643,6985449
1534,people stand sidewalk,people sidewalk,4.800000190734863,0.8715180363950972,5281,5423,-142,20164
1535,white dog run snow,white bear walk snow cover ground cast shadow snow,1.399999976158142,0.4176562167223139,2111,1319,792,627264
1536,young boy brown jacket play snow,dog play snow,1.2000000476837158,0.46220563472918175,2385,1147,1238,1532644
1537,man pick big rock,woman pick large rock,2.400000095367432,0.6417837732567382,3725,2279,1446,2090916
1538,white brown dog run grass,brown white dog run grass,4.599999904632568,1.0,5646,5284,362,131044
1539,carry tool box sidewalk,woman ride blue bicycle park,0.0,0.0,48,282,-234,54756
1540,man wear t shirt say gigolo stand counter talk,man wear shirt say gigolo stand desk area camera,3.400000095367432,0.6523689430519721,3794,3486,308,94864
1541,tent campfire submit forest,white dog beach carry stick mouth,0.0,0.0,47,288,-241,58081
1542,large dog run grass,bridle dog run grass,4.199999809265137,0.5681590534977672,3170,4781,-1611,2595321
1543,dog swim stick mouth,dog run stick mouth,2.5999999046325684,0.7536300866178692,4550,2414,2136,4562496
1544,man play fetch brown dog,woman play brown dog,2.3299999237060547,0.5939273970348571,3364,2164,1200,1440000
1545,dog run sand stick mouth,dog run creek stick mouth,3.5999999046325684,0.6511404529478321,3788,3945,-157,24649
1546,man stand water near waterfall,man wage water watch water fall,3.400000095367432,0.29373654222941026,1387,3481,-2094,4384836
1547,dog jump catch tennis ball,red dog jump catch tennis ball mouth,3.0,0.8549667861653993,5187,2988,2199,4835601
1548,man jump water,man air,2.400000095367432,0.21701891642540344,1036,2280,-1244,1547536
1549,woman black shirt stand banana fruit stand,woman wear black stand pick truck,2.400000095367432,0.34558720782753677,1688,2277,-589,346921
1550,child jump swimming pool,dog jump swimming pool,1.2000000476837158,0.843711775214223,5127,1131,3996,15968016
1551,little boy jump chair,young boy jump chair house,4.800000190734863,0.6554100995656377,3822,5476,-1654,2735716
1552,girl swe long wet hair lake,person ride dirt bike,0.0,0.0,44,344,-300,90000
1553,dog play shore,dog play snow,2.799999952316284,0.4600008139257834,2369,2689,-320,102400
1554,little girl walk boardwalk blue dome background,man go jump bike river background,0.0,0.1845813792875719,929,325,604,364816
1555,woman sit bench face obscure woman carry inflammable tiger woman kidney snow white costume,girl sit bench hold inflammable tiger girl colourful outfit,2.200000047683716,0.3546392411029378,1732,2012,-280,78400
1556,guy girl smile camera,dog white brown run field grass,0.0,0.0,43,312,-269,72361
1557,dog swim stick mouth,dog swim water stick mouth,5.0,0.9206115837005693,5484,5532,-48,2304
1558,black people play snow,black people frolic snow,5.0,0.6082059916127294,3472,5557,-2085,4347225
1559,girl hold scar movie ulcer,girl hold sack stand field,1.399999976158142,0.24499550742439657,1148,1331,-183,33489
1560,boy run beach play game,young boy young man run beach water,3.200000047683716,0.445020845369984,2283,3114,-831,690561
1561,girl wear purple sash watch skirt,group girl stand wear jean skirt sherman shirt,1.600000023841858,0.3799677452274113,1883,1507,376,141376
1562,man wear grey jacket stand street,boy wear blue life jacket hold green boat,0.6000000238418579,0.3540495731293498,1730,624,1106,1223236
1563,brown black dog jump catch red ball,brown black dog jump red ball,5.0,0.8735461411056528,5296,5503,-207,42849
1564,dog run leave,white dog run ocean,1.7999999523162842,0.4243940508666336,2152,1745,407,165649
1565,white black dog jump pool,woman black apron stand mirror,0.0,0.12355083318627094,670,316,354,125316
1566,black white dog carry stick mouth,black white dog stick paw,3.0,0.5888924069533459,3315,2931,384,147456
1567,deer jump fence,deer jump fence,5.0,1.0000000000000002,5733,5544,189,35721
1568,little girl hold wooden stick,little girl swim pool,2.200000047683716,0.38185868826098845,1894,1988,-94,8836
1569,black dog jump water,dog walk snow,2.400000095367432,0.19287320995437854,957,2286,-1329,1766241
1570,group people red fire truck,group people stand red fire truck,4.199999809265137,0.9172171054563197,5473,4707,766,586756
1571,boy jump blue pool water,young boy jump pool belly,3.400000095367432,0.562977727291013,3125,3680,-555,308025
1572,blonde dog catch ball mouth snow,little blonde girl sit green chair,0.0,0.27482011500458287,1306,338,968,937024
1573,child play laugh floor,child play floor,3.799999952316284,0.7810256005326813,4727,4153,574,329476
1574,man sit fishing pole near body water,man sit rock fold deck chair fishing pole,3.400000095367432,0.5156387301169784,2765,3617,-852,725904
1575,woman dog stand grass,man carry sign stand rain,0.0,0.19886091381805265,981,336,645,416025
1576,man blue shirt run stadium field,man wear blue hat shirt ride white horse,1.0,0.3773977390694344,1868,1032,836,698896
1577,black dog run water,black dog run water,4.800000190734863,1.0000000000000002,5739,5384,355,126025
1578,child jump trampling,man shed orange slide,0.0,0.0,41,333,-292,85264
1579,large brown dog crouch grassy field,brown dog run field,3.0,0.5192444175934344,2792,2965,-173,29929
1580,dog run grass,dog run snow,2.200000047683716,0.5363115692298379,2928,2040,888,788544
1581,sky speed snow,brown dog carry frisbee run snow,0.2000000029802322,0.1971736850685146,974,384,590,348100
1582,people play golf golf course,people golf course play golf,5.0,1.0000000000000002,5732,5546,186,34596
1583,boy girl play beach,dog play wave ball,0.800000011920929,0.18354966879027063,925,749,176,30976
1584,child red coat lay red mat,toller ready climb red piece equipment,0.800000011920929,0.16291741604222174,829,754,75,5625
1585,dog play grass,dog play grass,5.0,1.0,5673,5497,176,30976
1586,child blue white team uniform chase soccer ball,young boy blue soccer uniform chase ball,4.0,0.7574088041772923,4576,4599,-23,529
1587,football player swinge pitch,baseball player hit ball,2.799999952316284,0.24414425875224768,1143,2736,-1593,2537649
1588,man kite surge away camera,man sky surge water,2.799999952316284,0.4037917188955863,2029,2748,-719,516961
1589,black dog run grass,boy run green grass,1.0,0.535797742482336,2924,1101,1823,3323329
1590,little boy little girl play outside,young boy young girl walk,2.0,0.22173020131214172,1053,1926,-873,762129
1591,people sit end dock,people sit dock,4.199999809265137,0.8749886683162762,5303,4729,574,329476
1592,dog yard,dog stream,2.0,0.1990198520013421,982,1928,-946,894916
1593,man case dog try pass barrier enter play area,man follow black white dog take obstacle course,2.200000047683716,0.10549966868356364,557,1979,-1422,2022084
1594,large brown white dog run snow,gerard dog run snowy field,4.0,0.21738709981231713,1037,4597,-3560,12673600
1595,bloody man woman pose picture,man woman dress warmly pose picture,2.0,0.5429104428549514,2974,1930,1044,1089936
1596,yellow dog play grassy area near flower,girl play swing,0.4000000059604645,0.13018885144259026,696,582,114,12996
1597,boy play noble pool,boy play foam noble toy pool,4.599999904632568,0.7408348711738332,4462,5305,-843,710649
1598,big brown dog run snow,brown dog run grass,2.0,0.5712077711116733,3189,1912,1277,1630729
1599,young boy jump pool outstretched arm,dog jump backward pool,1.2000000476837158,0.36817482082380937,1798,1149,649,421201
1600,girl hold yellow balloon animal,child hold yellow balloon,4.0,0.7316951633273916,4386,4411,-25,625
1601,dog share toy field vegetation,snowboarder air snow,0.1700000017881393,0.0,57,371,-314,98596
1602,blood haired lady white pose camera,black white dog run mouth open,0.0,0.10088429385946136,534,356,178,31684
1603,dog run field chase ball,child run grass,0.2000000029802322,0.18876033137494924,942,381,561,314721
1604,girl sit statue,blonde girl sit statue,3.799999952316284,0.7858154859143917,4757,4144,613,375769
1605,girl orange light candle,girl orange shirt light candle,4.0,0.9064466242435525,5434,4595,839,703921
1606,white dog run field yellow flower,dog red collar run forest middle winter,1.600000023841858,0.1625472821423296,828,1487,-659,434281
1607,infant sit cot reach touch face old boy,boy ill touch face toller,2.200000047683716,0.3682490029865883,1799,1983,-184,33856
1608,dog shake water,dog shake water,5.0,1.0000000000000002,5729,5499,230,52900
1609,young boy run pavement,black dog run edge ocean,0.5,0.13959648763813345,735,609,126,15876
1610,young child side orange slide,little boy denis overall side orange slide,3.670000076293945,0.3960693090991852,1980,3986,-2006,4024036
1611,black white dog run red white pole,black white dog living room stand hind leg,1.600000023841858,0.29396832158925473,1391,1486,-95,9025
1612,individual lose skin skin sign,people skin stand skin sign,4.400000095367432,0.7831427246410632,4740,4967,-227,51529
1613,man white suit walk street hold newspaper,man white suit walk outside carry newspaper,4.599999904632568,0.7071584769521255,4191,5302,-1111,1234321
1614,black dog blue collar run snow,black dog wear blue collar run snow,5.0,0.9214616258924917,5487,5495,-8,64
1615,dog run camera,brown white dog run grass,0.800000011920929,0.4095134665106792,2062,826,1236,1527696
1616,boy swinge swing,girl swing,2.400000095367432,0.5330544094868881,2899,2303,596,355216
1617,group youngster swim lake water,child play swim water,4.400000095367432,0.4216388277232509,2134,4961,-2827,7991929
1618,blue white soccer team play,hopeless woman face paint cover mud,0.0,0.0,72,273,-201,40401
1619,brown dog catch green frisbee,brown dog wait frisbee come catch,3.799999952316284,0.7273219857417604,4339,4147,192,36864
1620,black white dog swim large green lake,black dog run fast shallow water,2.200000047683716,0.16507643455291493,843,2035,-1192,1420864
1621,large black dog play grassy field,white dog run,2.200000047683716,0.1657642687796397,846,2032,-1186,1406596
1622,brown black dog splint snow,black dog run quickly ground,2.799999952316284,0.21760136679278863,1039,2746,-1707,2913849
1623,man backpack look left,adult male wear backpack walk look left,3.799999952316284,0.6503433328721817,3782,4148,-366,133956
1624,elderly man blue shirt hold piece canvas art,black man walk building big city,0.0,0.048763444028015364,411,278,133,17689
1625,skinny young boy play sand water,dog shake water,0.4000000059604645,0.1684085702840347,859,588,271,73441
1626,small dog run obstacle course,small dog jump obstacle,3.799999952316284,0.6720788131102824,3934,4149,-215,46225
1627,brown dog run wood,brown dog run grass,3.200000047683716,0.622969084308195,3579,3087,492,242064
1628,group people stand window watch,group people stand wait,3.400000095367432,0.51832262235648,2781,3547,-766,586756
1629,dog jump barrier agility competition,dog jump obstacle course fence,4.400000095367432,0.19864623306208518,980,5009,-4029,16232841
1630,people race ice state,ice state round corner,3.200000047683716,0.457207903705625,2352,3085,-733,537289
1631,woman contestant walk dog dog,woman walk dog dog,4.800000190734863,0.7432507734288711,4482,5345,-863,744769
1632,man barge,man lie grass long hair beard,0.0,0.0831555503308664,457,283,174,30276
1633,brown dog run grass,brown dog run grass,4.800000190734863,1.0,5641,5383,258,66564
1634,person ride bike trail wood,small child yellow shirt hold arm side,0.4000000059604645,0.0,70,572,-502,252004
1635,woman black dress smile silver truck,girl wear black smile silver truck background,3.5999999046325684,0.691213998650723,4074,3974,100,10000
1636,dog beach near ball,guy go lay basketball court,0.6000000238418579,0.0,69,655,-586,343396
1637,dog bound brown grass,dog bind grass,2.5999999046325684,0.3612836571836532,1760,2483,-723,522729
1638,woman play young boy park,woman kiss play park,3.200000047683716,0.6353799625094114,3676,3079,597,356409
1639,dog emerge form water stick mouth,dog run camera stick mouth,2.400000095367432,0.5110320128627169,2735,2232,503,253009
1640,dog play snow,boy play sand,0.800000011920929,0.24840896316659017,1161,786,375,140625
1641,dog carry leash mouth,fluffy dog carry black leash mouth,4.199999809265137,0.7890555593053182,4793,4708,85,7225
1642,man jean play ball woman jeans stand nearby look away,man tie red arm band man arm street,0.0,0.06267880670405178,418,335,83,6889
1643,sky fall snow,sky fall face snow,4.0,0.8908283429774461,5371,4587,784,614656
1644,dog red toy mouth,brown dog carry stick mouth,2.200000047683716,0.39108201318860447,1942,2056,-114,12996
1645,hockey player fight ice,hockey player struggle ice,4.800000190734863,0.7626670729601958,4616,5382,-766,586756
1646,barrier play wood floor home,supply play red chew toy field,1.600000023841858,0.08788205874699795,475,1476,-1001,1002001
1647,dog run field,dog play field,4.199999809265137,0.6913670255834917,4076,4725,-649,421201
1648,man gray suit lock bicycle,man woman stand city street,0.4000000059604645,0.07546751071924102,438,459,-21,441
1649,man black leather jacket sleep subway car,man black leather jacket fall asleep public transportation,4.599999904632568,0.45217176941266524,2316,5297,-2981,8886361
1650,dog leap hardly,dog leap hardly,4.800000190734863,1.0,5698,5390,308,94864
1651,man set electronic equipment,dog wrest ground snow,0.0,0.0,65,343,-278,77284
1652,black dog walk grass stick mouth,boy hold net snake close ground,0.0,0.0,63,313,-250,62500
1653,girl run dog dry field,grey dog dog play grassy field,2.200000047683716,0.3459228524524476,1689,2047,-358,128164
1654,dog play snow,black dog snow,4.0,0.7020029135570309,4149,4620,-471,221841
1655,dog leap dock water,black dog leap dock water,4.0,0.9424500338589212,5537,4614,923,851929
1656,group old man walk street,couple walk street,2.0,0.505467279915716,2698,1935,763,582169
1657,dog stand snow blue fence,dog play shallow rocky shore,2.200000047683716,0.08771620745097455,474,2044,-1570,2464900
1658,black white dog run field,black white dog run grass,4.800000190734863,0.7112378109509142,4230,5370,-1140,1299600
1659,boy black wave arm people field,man black shirt roller blaze past bench city,0.4000000059604645,0.08309234051031694,456,482,-26,676
1660,elderly woman ride bicycle city street,elderly woman walk uphill cross street,2.0,0.45357530768204024,2328,1950,378,142884
1661,young boy munch yellow ball,small dog jump yellow beam,0.4000000059604645,0.20633633403276802,1009,474,535,286225
1662,group young ballerina dance studio,group young lady bikinis,1.399999976158142,0.2570986229339693,1209,1336,-127,16129
1663,young boy white dress shirt play grassy plain,woman get hair salon,0.0,0.0,60,315,-255,65025
1664,man dog play tug war,man dance colourful wall,0.4000000059604645,0.07389070755509927,436,479,-43,1849
1665,wet child shiver towel pool,wet child shiver towel pool,4.599999904632568,1.0,5693,5289,404,163216
1666,white dog run beach,white dog run beach,5.0,1.0,5678,5548,130,16900
1667,dog run sandy beach,dog walk beach,3.400000095367432,0.475706714279,2489,3627,-1138,1295044
1668,man hold handle water,man hold candle air,3.200000047683716,0.293549377419572,1385,3105,-1720,2958400
1669,white dog walk snow,black dog walk snow,3.0,0.7866546870101707,4765,2942,1823,3323329
1670,white brown dog run grass,dog run grass,3.200000047683716,0.77185890891761,4662,3111,1551,2405601
1671,boy go inflammable slide,boy red side inflammable ride,3.799999952316284,0.6832166815064762,4012,4155,-143,20449
1672,dog play ball puddle,dog stand puddle yellow tennis ball,3.799999952316284,0.6741306063339866,3943,4156,-213,45369
1673,dog play water,dog run snow,1.399999976158142,0.24387833095077505,1141,1334,-193,37249
1674,dog play snow,kiss play dog,1.2000000476837158,0.4874832597945896,2563,1108,1455,2117025
1675,girl bend beach,girl bend beach,4.800000190734863,1.0,5679,5361,318,101124
1676,dog play fetch snow,dog play grass,2.200000047683716,0.3648413706125634,1776,1976,-200,40000
1677,suffer ride small wave,suffer perform trick wave,3.5999999046325684,0.5542616373389919,3067,3958,-891,793881
1678,people walk beach sunset,people walk shore sunset,5.0,0.7127333866920259,4239,5550,-1311,1718721
1679,supply play grass,dog wrest grass,4.0,0.29787132867051563,1416,4607,-3191,10182481
1680,young girl sit santa lap,little girl sit santa lap,4.800000190734863,0.8549451350553466,5186,5350,-164,26896
1681,black white dog run mouth open,black white dog swim blue water,2.200000047683716,0.37302262713286444,1832,1972,-140,19600
1682,young boy jump air beach,boy jump air beach,4.800000190734863,0.9018975794495862,5418,5396,22,484
1683,man tuxedo walk step,man tuxedo walk set step,5.0,0.9095340944862778,5443,5554,-111,12321
1684,red short white shirt kick soccer ball,black dog stand surf hold red rubber ball,0.0,0.2031244883011316,994,322,672,451584
1685,man dog rocky seashore,dog stand rock water,4.800000190734863,0.11818432849340198,638,5458,-4820,23232400
1686,grown dog splash water,dog splash water,2.400000095367432,0.789920599045394,4797,2269,2528,6390784
1687,smile woman beach bury seated,girl cowboy hat sheep leash,1.0,0.0,16,899,-883,779689
1688,dog big ear hold small stick mouth,puppy big ear chew stick,3.799999952316284,0.5272482899974773,2838,4158,-1320,1742400
1689,large brown dog jump tall grass,girl wear blue shirt run science center,0.0,0.0,15,311,-296,87616
1690,dog fight snow,dog play snow,2.5999999046325684,0.6167772177493719,3542,2398,1144,1308736
1691,brown dog middle line dog chase dirty tennis ball dirt,white dog brown dog chase ball,2.799999952316284,0.6149488359048181,3522,2691,831,690561
1692,grey hound active grassy field,bunch bite race track,0.0,0.0,310,327,-17,289
1693,people race sidecar motorcycle mud,dog carry long stick mouth,0.0,0.0,14,328,-314,98596
1694,man sit rocky mountain,person stick head tent mountain,2.400000095367432,0.27125735831057557,1289,2274,-985,970225
1695,man stand boat pull boat close bamboo stick,man black hat standing brick wall sign,0.0,0.03642028880217168,408,341,67,4489
1696,man play white guitar,man play white guitar singing,3.200000047683716,0.7731231091187443,4673,3187,1486,2208196
1697,person skijore dog mountain,brown dog play ball water,0.0,0.10946585151485141,593,340,253,64009
1698,shortness young people play water,lot people play water beach,2.400000095367432,0.4206674433326717,2129,2304,-175,30625
1699,close hummingbird,close hummingbird flying,3.5999999046325684,0.7419373375236042,4472,3942,530,280900
1700,woman black dress walk street,woman watch dog jump stair,0.800000011920929,0.0917005508799815,493,872,-379,143641
1701,man woman look camera,man woman laugh,2.3299999237060547,0.2935563480505744,1386,2166,-780,608400
1702,brown dog run dirty muddy grass,large brown dog run outside dirt,3.5999999046325684,0.3131437111769936,1500,3944,-2444,5973136
1703,dog pull man bicycle snow,dog pull man type bike snow,5.0,0.5883593909371752,3305,5505,-2200,4840000
1704,baby red hat sit strolled hold doll,man gray shirt sit field flower,0.0,0.09229521450334313,497,337,160,25600
1705,child play hay outdoor throw camera lens,young child play hay throw camera,4.800000190734863,0.7006967042012615,4137,5478,-1341,1798281
1706,climber stand rock face pink rope,child run snow fence background,0.0,0.0,10,330,-320,102400
1707,black dog wear orange collar entangle fishing wire,black dog wear red collar shake water,1.7999999523162842,0.41804418302782015,2116,1755,361,130321
1708,dog play dirt,dancer lose camera red white dress,0.0,0.0,9,329,-320,102400
1709,golden dog run grass,large beige dog run grass,3.400000095367432,0.44823080700186785,2297,3518,-1221,1490841
1710,dog run grass,dog run grass,4.800000190734863,1.0,5685,5473,212,44944
1711,man red short walk rock river carry stick,man walk rock water flow,3.400000095367432,0.36566427256790796,1783,3521,-1738,3020644
1712,rowing boat,man trick skateboard,0.0,0.0,8,308,-300,90000
1713,dog run racetrack,dog round bend racetrack,4.800000190734863,0.5902938616350787,3326,5467,-2141,4583881
1714,black brown dog walk snow near building,old man stand outside old board building,0.800000011920929,0.14876096780123427,776,758,18,324
1715,dog jump swimming pool duck,dog jump swimming pool,3.400000095367432,0.8173757062309605,4971,3540,1431,2047761
1716,dog run forest winter time,dog run lot twig,3.200000047683716,0.20126677446812374,989,3180,-2191,4800481
1717,girl play image big screen,girl hold umbrella back camera,0.4000000059604645,0.13327713601101976,709,571,138,19044
1718,people run race street,puppy run street,1.0,0.48100219537559585,2519,1008,1511,2283121
1719,man swimming trunk stand rock,man gray shirt limb large rock wall,1.0,0.2325643761425957,1100,1018,82,6724
1720,white dog walk snow,dog black collar barking snow,2.0,0.34178980073232607,1666,1893,-227,51529
1721,woman wear pink shirt jump air arm leg spread side,man wear suspend sunglasse leap air arm leg spread,2.400000095367432,0.5480531567197761,3012,2278,734,538756
1722,dog run grass,dog run brush,2.799999952316284,0.43916442603353445,2241,2722,-481,231361
1723,dog run sand,dog run water,2.799999952316284,0.5035832511089007,2683,2655,28,784
1724,woman attempt ride small wave,man woman sit outside sun,0.0,0.08936229391800528,481,272,209,43681
1725,black white dog swim river,black man dog beach,0.6000000238418579,0.33606067229029324,1631,678,953,908209
1726,standing jagged rock near ocean,man stand rock overlook ocean,4.599999904632568,0.37574876910145105,1854,5281,-3427,11744329
1727,girl black blue wet suit surge,woman wear black blue stripe suit surge wave,4.400000095367432,0.5774677869049196,3229,5010,-1781,3171961
1728,woman lead dog obstacle course,woman lead small dog obstacle course,4.599999904632568,0.9249580232334589,5497,5280,217,47089
1729,dog beach,dog walk beach,2.400000095367432,0.8116802409782032,4938,2275,2663,7091569
1730,young boy stand gray tile area,young boy practice rate grm,1.0,0.21592966949376022,1031,970,61,3721
1731,dog run food mouth,dog run yellow ball mouth,2.200000047683716,0.5812803124482908,3253,2123,1130,1276900
1732,dog run beach,dog run beach,4.800000190734863,1.0000000000000002,5720,5446,274,75076
1733,black white dog swim pool,black white dog run mouth,2.0,0.4407646068141474,2253,1894,359,128881
1734,dog head inside red green gift bag,pet playfully investigate content gift bag,3.799999952316284,0.389866116207492,1938,4162,-2224,4946176
1735,yellow skirt man wear golden sun mask,man yellow shirt wear gold sun shape mask,5.0,0.5619725542224115,3113,5524,-2411,5812921
1736,man call sheer rock face rope support,young man ski jump purple board,0.4000000059604645,0.048697970240243624,410,545,-135,18225
1737,child hand head,little boy stand hand head,4.199999809265137,0.570787418578053,3185,4763,-1578,2490084
1738,man wear orange vest can blue water,man orange jacket raise hand sky sand,1.7999999523162842,0.22755045804638213,1074,1714,-640,409600
1739,old man black trench coat stand marketplace,baby wear red shirt walk place,1.2000000476837158,0.0,5,1139,-1134,1285956
1740,man climb cliff face,man limb sheer cliff face,4.800000190734863,0.5253026070980386,2825,5437,-2612,6822544
1741,girl panama part appear dance,girl baseball cap eat snack outside,0.6000000238418579,0.09872139118831263,524,719,-195,38025
1742,white brown dog play black toy,white brown dog play tug o war,3.400000095367432,0.48670753183882276,2552,3527,-975,950625
1743,boy play baseball,man play baseball,3.0,0.818800247098305,4977,2941,2036,4145296
1744,boy wear red shirt run grass furry dog,sport fan wear face paint stand,0.0,0.11796259942438118,636,354,282,79524
1745,black dog retrieve snow,skateboarder jump street,0.0,0.0,4,365,-361,130321
1746,smile man baby girl lose photo,smile man hold small child wear pink red,3.200000047683716,0.2446349369723052,1145,3172,-2027,4108729
1747,dog jump frisbee snow,dog jump snow,3.200000047683716,0.7493231053218015,4523,3193,1330,1768900
1748,brown white dog pink collar bark brown dog blue collar snow,dog red collar bear tooth dog blue collar,3.400000095367432,0.591400684567267,3341,3640,-299,89401
1749,brown dog bite,brown dog bite sand,4.199999809265137,0.8090087793956574,4919,4739,180,32400
1750,skateboarder attempt trick low wall,boy skateboard trick railing,4.0,0.2140367358084122,1029,4526,-3497,12229009
1751,young girl lip water,young girl wear purple run water,2.799999952316284,0.4820254043132246,2522,2740,-218,47524
1752,snowboarder ride snowboard railing flight step,boy grind skateboard concrete wall,0.800000011920929,0.0,2,757,-755,570025
1753,woman man hat socialize outside,young woman knit cap stand wall coming dizzy,1.399999976158142,0.0535022437532019,413,1372,-959,919681
1754,small boy bathroom sit metal chair,boy robe sit chair,4.199999809265137,0.42320790696473576,2147,4744,-2597,6744409
1755,black dog run snow,black pit bull dog run dirt,2.200000047683716,0.4041280262593908,2032,2073,-41,1681
1756,group teenager dance wooden floor,group people dark color clothing line dancing wooden floor,3.400000095367432,0.37167739220595797,1820,3533,-1713,2934369
1757,young boy ride bike,young girl lay blue inflammable toy,0.4000000059604645,0.16858968547020037,862,511,351,123201
1758,black dog run snow,black dog run beach,1.7999999523162842,0.6314671636848248,3648,1654,1994,3976036
1759,dog snow fence,dog drink water lake,1.0,0.13659484019294416,727,956,-229,52441
1760,girl run river bank black dog,little boy pet tiger lay,0.2000000029802322,0.0,36,417,-381,145161
1761,teenage girl run beach shouting old man walk,young child run shore beach,1.7999999523162842,0.25808312462916694,1215,1658,-443,196249
1762,brown white dog walk man skateboard,blood child lay branch tree green field,0.0,0.0,20,98,-78,6084
1763,ride surfboard wave,man black surfboard ride wave,4.0,0.9042763943553903,5430,4547,883,779689
1764,man red shirt climb mountain,man climb mountain,4.199999809265137,0.7933111354280018,4819,4747,72,5184
1765,man ride motorcycle wear black uniform,white motorcycle ride race track,1.399999976158142,0.37988803745813865,1882,1369,513,263169
1766,black dog swim river,black dog dig snow,1.2000000476837158,0.2890348057563365,1367,1114,253,64009
1767,man woman smile,man woman laugh,3.200000047683716,0.3422750956328844,1671,3206,-1535,2356225
1768,man stand rock mountain watch sun set,man stand mountain watch sunset,4.800000190734863,0.5644901248291324,3139,5431,-2292,5253264
1769,little girl play trampling,little boy play playground,1.399999976158142,0.38377258279990567,1904,1365,539,290521
1770,girl jump high air,dog muscle grass near lake,0.2000000029802322,0.0,35,408,-373,139129
1771,woman hold black purse smoke cigarette,woman black bag smoke cigarette,4.800000190734863,0.6931582569685617,4088,5358,-1270,1612900
1772,dog run grass,brown dog run grass,4.199999809265137,0.8462242287941113,5141,4750,391,152881
1773,man long hair look camera,woman stand wall near video camera,1.0,0.19396603616500455,962,940,22,484
1774,grown dog run grass,dog run grass,4.0,0.7344430114919336,4415,4565,-150,22500
1775,people wear hat sit look camera,man wear blue shirt make crouch face,0.0,0.1450204666847923,756,85,671,450241
1776,girl play people flower,young girl wear skirt play garden,3.200000047683716,0.2618397228786387,1236,3202,-1966,3865156
1777,girl pink shirt sprawl limb impair,man dress santa suit climb large concrete building,0.0,0.0,33,99,-66,4356
1778,little girl red shirt pull kite,girl red shirt take picture phone,1.399999976158142,0.4342613373653653,2212,1358,854,729316
1779,child slide snow,sleeping street,0.0,0.0,32,72,-40,1600
1780,dog play water,dog swim water,4.199999809265137,0.5740221594638913,3205,4755,-1550,2402500
1781,white dog run sand,white dog run sand,5.0,1.0000000000000002,5719,5539,180,32400
1782,little girl hand air sit man lay blanket,kid run opposite direction play game,0.2000000029802322,0.0,31,421,-390,152100
1783,red white race car race dirt racetrack,person ride dirt bike race dirt track,1.399999976158142,0.48807963376088176,2569,1356,1213,1471369
1784,black white dog run cow field,large black white dog run ocean water,2.200000047683716,0.4782265146084346,2503,2102,401,160801
1785,man straw hat shade phone walk busy sidewalk,man lie street head shoulder marked car pack,0.6000000238418579,0.030136859906299353,407,665,-258,66564
1786,man messenger bag gray tile wall,red jacket stand lighthorse,0.800000011920929,0.0,23,825,-802,643204
1787,dog swim water,dog swim water,3.200000047683716,1.0,5690,3198,2492,6210064
1788,little white curly haired dog run pavement stick mouth,white curly haired dog run stick mouth,4.599999904632568,0.8423284754017507,5116,5312,-196,38416
