,sentence1,sentence2,similarity_score,sentence_transformers_cosine_score
1030,young woman stand room,indian woman indian girl near water,0.4000000059604645,0.22995946
1031,red double hecker bus drive street,double hecker passenger bus drive traffic,4.0,0.8480277
1032,white sheep hillside look camera,skinny cow stand grass,1.2000000476837158,0.1651277
1033,group sheep field,group horse graze field,1.600000023841858,0.31651336
1034,close distorted photo glass joke bottle,close picture desk computer paper,0.0,0.22488311
1035,crowded office desk computer monitor,computer desk monitor,3.0,0.7261278
1036,man sit fluttered room,man lie bed fluttered room,3.200000047683716,0.64573646
1037,white cow green pasture,horse pasture,1.399999976158142,0.5021008
1038,black cow walk tree pasture,walk tree pasture,3.799999952316284,0.6386719
1039,people sit table restaurant,people sit table,1.7999999523162842,0.7244544
1040,smile woman beer sit outside smile woman,woman sit outside laugh,3.200000047683716,0.5356034
1041,bird hold metal gate,multi colored bird cling wire fence,3.200000047683716,0.62151074
1042,skinny cow stand grass,white duck stand ground,0.6000000238418579,0.33556336
1043,woman lay man sit sofa,man woman smile camera sit blue sofa,2.200000047683716,0.6118332
1044,woman big necklace,young woman black necklace,3.400000095367432,0.80577576
1045,grown cow horn stand field,grown horse stand middle grassy field,1.7999999523162842,0.4364758
1046,cruise line lock shoreline,cruise ship lock shore,4.400000095367432,0.7574889
1047,black white cat lie bush,black white cat yellow eye lounge dirt,2.400000095367432,0.49533343
1048,grown white cow stand grass road,brown white cow stand grassy area tree,3.5999999046325684,0.7419759
1049,small dog look camera stand grass,man woman smile camera stand kitchen,0.800000011920929,0.16758211
1050,calf yellow tag left ear look camera,man glass plastic bottle foreground,0.6000000238418579,0.13304053
1051,black white photo couch purse end,black white photo cow tree,0.0,0.13316554
1052,man boat float water,large green boat float,2.400000095367432,0.66000736
1053,rear view chevrolet sport car,rear view red chevrolet concept car,3.5999999046325684,0.8412469
1054,person wear helmet ride bike near white structure,person wear bike helmet ride bike path tree,3.200000047683716,0.6721798
1055,black white photo old train station,black white photo motorcycle lay ground,0.2000000029802322,0.037454844
1056,grey white cabby cat sleep purple fabric,black white cat sleep brown trap,2.400000095367432,0.608265
1057,woman hold small baby,smile woman hold small baby,4.0,0.84473336
1058,group horse graze grassy field,group horse graze field,4.599999904632568,0.9747704
1059,man sit table drink,man sit table beer food,3.400000095367432,0.7539928
1060,people dress white standing grass field,person stand underneath overcast near highway,0.4000000059604645,0.06067169
1061,orange cabby cat sleep sofa,man watch foot bed,0.6000000238418579,0.17816284
1062,eagles perch branch,bald eagle perch branch,3.799999952316284,0.830533
1063,striped cat lay bag cat litter,domestic cat lay cat litter,3.799999952316284,0.85350096
1064,man small child living room lose camera,man woman lose camera,2.400000095367432,0.7004718
1065,home office computer monitor equipment desk,room computer monitor,3.0,0.6693348
1066,bird stand snow,cardinal stand snow,3.799999952316284,0.75238436
1067,black vehicle mark view low lie mountain,black car mark dirt country,2.5999999046325684,0.46893588
1068,passenger train snow,passenger train wait station,2.200000047683716,0.5195318
1069,black bird sit ground,blackbird sit ground,5.0,0.9168524
1070,black white bull look camera,black white dog look camera,2.0,0.6251972
1071,young girl ride white grey horse,young blonde girl ride gear sit gray white horse,3.799999952316284,0.8625165
1072,black white sheep walk white sheep,little black white calf tag ear,0.800000011920929,0.091984995
1073,living room dining table background,boy wheel plank beach background,0.0,0.1479362
1074,dining room table get afternoon sun,dining room wooden dining table set playmate,2.200000047683716,0.43342742
1075,red move mark sidewalk graffiti,red soon sit street building,3.5999999046325684,0.44495925
1076,seagull float water,little bird float water,3.5999999046325684,0.67908984
1077,black dog stand material construction site,sign toller girl sit pot flower marble post,0.0,0.114198074
1078,woman lose apartment building snow,woman stand building snow,4.400000095367432,0.7713953
1079,cow graze road,sheep grazing field,1.0,0.34886563
1080,mountain goat graze aline lake,animal graze mountain body water,3.200000047683716,0.6186092
1081,black white cow fence,black white cow metal gate partly cloudy blue sky,3.200000047683716,0.57723266
1082,passenger train wait station,passenger train wait city train station,4.0,0.9035875
1083,white animal run snow cover wood,white dog run snow cover wood,3.400000095367432,0.93331444
1084,man sit grass look sky,train ride track snow,0.0,-0.038870677
1085,black flat screen television place floor,flat screen floor,4.0,0.7418548
1086,silver bicycle mark living room,bicycle dining room,2.400000095367432,0.69411826
1087,black train train track,train train track,4.099999904632568,0.8206369
1088,black train train track,train train track,4.099999904632568,0.8206369
1089,orange cabby cat sleep sofa,wear big sitting green couch,0.0,0.14852783
1090,bald eagle perch rope,bald eagle perch branch,2.5999999046325684,0.74962425
1091,couple lose picture couch,young couple sit couch,4.0,0.5870662
1092,man play guitar have drink,young boy red blue jacket feed sheep,0.0,0.08987801
1093,cat sit sofa look window,cat look window,3.799999952316284,0.79950523
1094,red double hecker bus,red double hecker bus hood,3.75,0.88595045
1095,close animal long face stand grass near tree,close woman black boot blue motorcycle,0.0,0.03290627
1096,brown white dog sit flora patter chair,small orange white dog collar bell relax flower print pillow,1.7999999523162842,0.43226862
1097,group people sit restaurant table,group people sit table food,4.199999809265137,0.8577353
1098,sheep cliff look camera,sheep stand look camera face opposite direction,2.0,0.64940286
1099,black white photo train station,black white photo cat lie,1.600000023841858,0.20451197
1100,row locomotive riding field,dark brown horse stand field,1.2000000476837158,0.27491918
1101,white apple computer sit beige carting bedroom,apple computer sit floor,3.5999999046325684,0.69566536
1102,dog tap small table,dog sleep table,4.599999904632568,0.6124147
1103,boat sail sail water,nail boat sail water,3.5999999046325684,0.7988063
1104,red sport car race track,red sport car drive quickly track,4.599999904632568,0.847244
1105,black bird sit concrete slab,small dog sit white wall,0.800000011920929,0.13824709
1106,victory miner bus white red gold stripe,white tour bus red orange yellow stripe,3.200000047683716,0.6085925
1107,red double hecker bus street,red double hecker bus city street,4.400000095367432,0.949731
1108,group river barge tree background,young girl wear bike helmet bicycle background,0.4000000059604645,0.089444146
1109,seagull float water,large cruise ship float water,1.2000000476837158,0.58157414
1110,motorcycle mark car,bmw motorcycle mark car,3.0,0.76445013
1111,gray cat look window,cat look window,4.0,0.89890754
1112,black white photo cow tree,black white photo cow walk tree field,4.199999809265137,0.84514415
1113,post plant sunlight window,post plant sprouting,2.799999952316284,0.43201923
1114,people row boat near shore,people boat green water,2.799999952316284,0.65726423
1115,girl red shirt ride brown horse,white dog lay bed yellow coverlet,0.0,0.056979775
1116,small desk chair sundry room,room wall washed dwyer,1.399999976158142,0.22600117
1117,amtrak passenger train wait station,passenger train wait station,4.0,0.9034264
1118,large jet ground airport,passenger jet fly air,1.7999999523162842,0.52127385
1119,young girl wear helmet ride pony,girl wear red louse ride brown horse,2.0,0.4862131
1120,people sit porch,people sit couch,1.399999976158142,0.53185666
1121,horse stand pen,group horse graze field,1.600000023841858,0.54326373
1122,red train yellow train track,train travel track,3.400000095367432,0.7137915
1123,people sit table restaurant,group people sit table porch,1.0,0.48898423
1124,lamb stand near tiny animal,sheep stand near child,1.399999976158142,0.5149335
1125,person ride dirt bike outdoor,person jump motorbike air,2.200000047683716,0.5180747
1126,cow ear tag grassy field,sheep stand green hill,0.2000000029802322,0.15244734
1127,nail boat sail water,nail boat float blue water,4.199999809265137,0.7869172
1128,woman like hat,smile woman sit wear like hat,4.199999809265137,0.6827126
1129,mark white double hecker bus,red white double hecker bus mark,4.199999809265137,0.88511103
1130,field black faced sheep,black faced sheep,2.799999952316284,0.89186573
1131,bird perch metal band,small bird perch metal bar,4.0,0.6756221
1132,table blue table cloth kitchen,wooden cabinet kitchen,1.600000023841858,0.3863511
1133,young woman bracelet wear like jean,woman wear like jean,4.0,0.7681526
1134,brown horse grazing field green grass,grown horse stand middle grassy field,4.0,0.6877799
1135,pot liquid center trefoil cover plate,pot food place center red tablecloth,1.399999976158142,0.39967436
1136,black white cow stand grassy field,blue jay stand grassy field,0.6000000238418579,0.21621093
1137,yellow blue airplane fly sky,white airplane fly blue sky,3.200000047683716,0.8001943
1138,woman sit chair christmas holding,train sit track train yard,0.0,0.07801479
1139,sign young people sit den living room,girl sit living chair,0.800000011920929,0.25939938
1140,brain go track,brain glide track,4.599999904632568,0.7637583
1141,young woman dress black,young kiss dress sit chair,0.2000000029802322,0.25621477
1142,group people sit table drink,people sit table,3.0,0.7142659
1143,plane fly distance,woman white horse,0.0,0.03610297
1144,group river barge tree background,group cow field yellow tag ear,0.2000000029802322,0.09749758
1145,living room dining table background,living room large sofas dining table background,3.5999999046325684,0.8381425
1146,fellow stripe cat rest blue sofa,orange cabby cat sleep sofa,4.0,0.6755643
1147,passenger train come station,large bird fly air,0.0,-0.05001063
1148,people waddle red canoe tree background,people add yellow canoe river tree background,3.400000095367432,0.6166624
1149,black train move track,black train idle track,2.200000047683716,0.6660119
1150,white deep mark store,white deep mark street,3.5,0.6722196
1151,woman stand tour bus,man talk plane,0.4000000059604645,0.020014662
1152,man ride large black motorbike,child sit large black leather chair,0.0,0.10730536
1153,bicycle mark outside bookstore,people stand outside bookstore,0.800000011920929,0.28748342
1154,lane mid flight sunset,plane fly near sunset,3.799999952316284,0.55390894
1155,red bush mark garden,red bush mark large white building formal garden,3.400000095367432,0.75926614
1156,yellow parrot cling cage,yellow orange bird hold cage,3.400000095367432,0.67911506
1157,couple sailing small sailboat,man sail small sailboat,3.0,0.53962016
1158,silver blue motorcycle sit car,motorcycle mark car,3.5999999046325684,0.6058179
1159,red double hecker bus,red double hecker bus,5.0,1.0000001
1160,foot stand pretty day large building background,police officer stand van bus background,0.4000000059604645,0.118029
1161,small white dog chess twig lie wooden deck,white dog lay wooden floor underneath table,1.600000023841858,0.6572583
1162,standing silver train,standing silver rail car,4.400000095367432,0.7276092
1163,close sheep tongue hang,close image sheep tongue hang,5.0,0.93275857
1164,black white horn cow stand field,black white cow stand field,4.199999809265137,0.882666
1165,man ride white horse arena,man ride white horse,4.0,0.88482445
1166,train sit track near field,train travel track,2.200000047683716,0.70623827
1167,woman small child sit dinner table smile camera,small cat lay wooden beam look camera,0.4000000059604645,0.22501582
1168,buddha statue sit table wooden table runner,bird stand wooden fencepost,0.4000000059604645,0.096940376
1169,red bush drive garden,brain pull station,0.0,0.039251823
1170,row grazing snow cover field,cow grazing snow cover field,3.799999952316284,0.6690335
1171,man ride white horse,woman ride brown horse,1.7999999523162842,0.46776754
1172,blue shirt stand fountain,man blue shirt part stand statue man gobble stone pave place,3.200000047683716,0.53614867
1173,girl ride gear sit stop brown horse,girl red shirt ride brown horse,4.0,0.6815095
1174,clear plastic chair bookcase,clear plastic chair book shelf,4.199999809265137,0.94343185
1175,dog wear gray jacket,dog lay pet jacket,3.0,0.6036872
1176,sheep stand hillside,large sheep stand hill,4.0,0.8696847
1177,black white cow stand grassy field,black white cow stand field,3.799999952316284,0.9647572
1178,woman black like jean,woman black hat stand subway,1.0,0.3569704
1179,girl ride brown horse,jockey wear purple ride brown horse,2.200000047683716,0.6100582
1180,standing yellow coquette,man stand yellow sport car,3.200000047683716,0.41843906
1181,man sit grass look sky,man stand sidewalk horse,0.0,0.24892642
1182,man pose large fountain statue,blue shirt stand fountain,2.799999952316284,0.3698662
1183,white cat stand carpet,sheep stand forest,0.4000000059604645,0.10116058
1184,flat screen floor,flat screen sit floor,5.0,0.9194659
1185,brown horse stand grassy field,man sail small sailboat,0.0,-0.11136956
1186,sheep stand doorway,ram stand snowy ground,1.399999976158142,0.24730045
1187,room computer monitor,room computer monitor row,4.0,0.87408316
1188,line outside bookstore street,yellow motorcycle mark street,0.4000000059604645,0.09388779
1189,passenger jet sit runaway,large passenger jet fly close ground,1.7999999523162842,0.55834514
1190,old green bottle sit table,man suit sit table,0.4000000059604645,0.25059888
1191,white horse stare fence,horse stand pen,3.0,0.5190163
1192,black white cow pause gate,white airplane fly sky,0.0,-0.04144588
1193,black white cow stand grassy field,black white horn cow stand field,4.0,0.853155
1194,black white photo cat lie,black white image cat lay rug,4.199999809265137,0.6966662
1195,man woman stand smile camera,man woman lose camera,4.199999809265137,0.3549745
1196,orange white cat asleep leather chair,ginger cat sit office chair,3.0,0.58403337
1197,white cat stand carpet,pretty white stripe cat head hang table,1.600000023841858,0.48984665
1198,grey white domestic kitten lie desk,man bicycle lay green grass,0.2000000029802322,0.068289265
1199,woman lose apartment building snow,white bus mark grass building,0.0,-0.040384576
1200,young woman bracelet wear like jean,woman wear jean dark like bracelet,4.599999904632568,0.8937446
1201,table chair room picture wall ceiling fan,school bus drive road green tree grass background,0.0,0.028480086
1202,man sit cross legge bed watch small,man sit bed close small television,3.400000095367432,0.6901016
1203,headlight blue car,close headlight blue car,4.199999809265137,0.954962
1204,passenger train come station,passenger train sit station,2.400000095367432,0.83586156
1205,airplane face camera,lone cow sit cold yard,0.0,-0.09305022
1206,woman ride brown horse,person dress white brown horse,3.200000047683716,0.6811735
1207,jockey ride horse,jockey ride horse pen,3.799999952316284,0.84215105
1208,dog blend stuff animal,dog sit couch stuff animal,3.400000095367432,0.522454
1209,train run track,train run track rural area,4.0,0.7633297
1210,stand snowy mountain watch plane,man stand mountain watch plane,4.400000095367432,0.8233423
1211,bird flap wing water,large black bird sit water,3.200000047683716,0.58356595
1212,cruise line lock port,cruise ship lock coast,3.200000047683716,0.8074671
1213,red double hecker bus crowded street,white bus partially snow public street,2.0,0.4181694
1214,woman pet dog fenced area,woman pet dog gaze yard,4.800000190734863,0.65774167
1215,black white cat play blanket,black white cat get basket yarn,2.200000047683716,0.53911394
1216,man mountain bike go incline,man ride mountain bike rock clear day,3.200000047683716,0.7607266
1217,cat decline office chair,ginger cat sit office chair,3.799999952316284,0.6237488
1218,group horse graze field,brown horse grazing field green grass,2.5999999046325684,0.7135679
1219,group people have drink,row locomotive riding field,0.0,-0.040284455
1220,dog fence tunnel look ahead,woman pose dining room baby,0.0,-0.05180454
1221,sheep dirt road view passenger vehicle,sheep middle gravel road,3.400000095367432,0.65331763
1222,yellow blue airplane fly sky,line red white aircraft fly formation trailing smoke,1.0,0.43150866
1223,train sit train station,blue train station,4.0,0.7074404
1224,train sit track near field,baby sit grass,0.0,0.063019395
1225,red double hecker bus take passenger,red double hecker bus pick passenger city,4.400000095367432,0.807948
1226,gun sit couch hold bee girl lie law,woman watch street bite cross,0.0,0.06618126
1227,woman kitchen look object,woman kitchen take picture,2.799999952316284,0.65903103
1228,race horse gallop rider,horse gallop wear number,2.799999952316284,0.79197145
1229,steam engine train move camera,large bird prey fly camera,0.800000011920929,0.21498206
1230,black white photo glass bottle local old,black white picture short squat local cold bottle,4.199999809265137,0.6093702
1231,small bird perch icy branch,yellow bird perch branch,3.200000047683716,0.6462683
1232,boy glass tie computer,boy look computer screen,3.200000047683716,0.53225994
1233,red truck spine tire black leave frame,red truck spinning tire emit smoke,3.200000047683716,0.63651824
1234,living room table chair sofa alongside large palm,living room blue sofa camp bed wooden bench dresser,2.400000095367432,0.51467884
1235,smile woman hold small baby,woman sit sofa hold baby,3.400000095367432,0.6612055
1236,gas station tree background,police officer stand van bus background,0.0,0.0918697
1237,blue yellow plane fly boat,blue yellow plane flight,4.199999809265137,0.83524275
1238,horse stand near gate horse background,group river barge tree background,0.0,0.040931962
1239,bottle table,old green bottle sit table,2.400000095367432,0.6564544
1240,steam engine come train track near tree,train train station,1.399999976158142,0.4078989
1241,train train station,train mark train station,4.199999809265137,0.8753599
1242,woman sit sofa hold baby,bird sit log lake,0.4000000059604645,0.12127664
1243,bird fly water tender,bird fly near bird leader,3.5999999046325684,0.6088916
1244,cow stand large field,horse stand field,1.600000023841858,0.410167
1245,group sheep grazing hill,group sheep hill,4.0,0.8858129
1246,man stand train,man stand raise statue,2.0,0.37938532
1247,woman lose camera give thumb sign,smile young woman give thumb sign,4.400000095367432,0.6170093
1248,woman hold small baby sit sofa,woman sit sofa hold baby,4.800000190734863,0.9551115
1249,double hecker red united bus city street,doubly hecker red bus drive road,4.0,0.7900146
1250,woman sit brown couch,woman stand outside bus,1.0,0.20321164
1251,grey cat green eye look camera,grey black white cat look camera,3.200000047683716,0.6883877
1252,bird sit branch,sheep stand tree,0.0,0.23823407
1253,group people sit table restaurant,people sit table restaurant,3.799999952316284,0.9078454
1254,black white cow stand grass partly cloudy blue sky,black white cow metal gate partly cloudy blue sky,2.400000095367432,0.45602727
1255,guy white horse,man ride white horse arena,3.200000047683716,0.7709656
1256,dairy cow drink pond,cow drink pond,4.599999904632568,0.9163698
1257,share sheep pen,white sheep enclosure,2.400000095367432,0.57512283
1258,black dog lie grass,black dog lie grass,5.0,0.99999994
1259,young people sit table slide glass door person point,people sit face table point,4.199999809265137,0.66846216
1260,man woman hold hand walk beach,man beard skullcap boy walk ocean shore,2.200000047683716,0.34480348
1261,men sheep look camera,cat look camera,1.2000000476837158,0.25279588
1262,black white dog look camera,small black white goat pen look camera,1.399999976158142,0.41950366
1263,black table white fully chair,woman child,0.0,0.041023523
1264,red double hecker bus take passenger,red double hecker bus drive street,2.200000047683716,0.79844993
1265,nail boat sail water,sailboat sailing cloudy day,3.400000095367432,0.5924463
1266,blue bird perch gloved hand person,bird perch person gloved hand,4.199999809265137,0.9267489
1267,girl ride brown white horse,girl ride brown horse,3.5999999046325684,0.8917998
1268,black train track,car mark train track,1.0,0.520789
1269,young boy color red blue carbon,young blonde girl ride gear sit gray white horse,0.0,0.099110655
1270,group people living room,group people walk past giant mushroom,0.800000011920929,0.25267124
1271,millard tame white duck grass near water,small child pink dress sit table,0.0,0.024525981
1272,cat sit bicycle door,horse stand field fence,0.0,0.12298968
1273,girl red bag stand street,black dog stare sheep,0.0,-0.038270622
1274,horse rider ride white horse,woman lead white horse,3.400000095367432,0.7300299
1275,long train train track,train train track,4.199999809265137,0.8783284
1276,black dog look black sheep,black dog look brown sheep pen,3.0,0.82351434
1277,room computer picture wall,home office computer monitor equipment desk,2.799999952316284,0.5850272
1278,black white photo cow walk tree field,black white dog look camera,1.0,0.19574119
1279,silver areomexico met miner sit tartar,aeromexico silver plane runaway,4.199999809265137,0.34630042
1280,man dirt bike jump high,man motorbike jump sky,3.400000095367432,0.7528306
1281,people sail small white sail boat,couple sailing small sailboat,4.199999809265137,0.63554597
1282,white airplane mark cement,blue motorcycle mark sidewalk,0.800000011920929,0.3472053
1283,cow grazing field,sheep grazing field,0.800000011920929,0.5626412
1284,man sit mess table lawton,man sit look lawton computer mess table,4.800000190734863,0.6654656
1285,dining table candle wine weapon,wooden table set candle wine purple plastic bowl,3.0,0.6461314
1286,people waddle red canoe reflect water,people red canoe clear lake,3.200000047683716,0.7420363
1287,scantily clothe woman stand car,scantily clad woman stand small red vehicle,3.799999952316284,0.83170265
1288,red double hecker bus take passenger,red double hecker bus hood,2.200000047683716,0.79046655
1289,buddha statue hold candle sit table,man fish small boat lake,0.0,0.14157417
1290,people sit dinner table smile camera,elderly woman sit dinner table man,2.0,0.36577263
1291,multi colored train track,black train track,2.799999952316284,0.65132767
1292,white red bus travel street,red bus street,2.200000047683716,0.80234385
1293,red blue plane fly landing year,wwii fighter plane landing gear,3.200000047683716,0.47529098
1294,small boat go creek,boat move river,3.0,0.7160426
1295,woman man sit long table restaurant,group people sit table italian restaurant,3.0,0.46707302
1296,goat stand field tree,large boat pull small white boat,0.0,-0.004944168
1297,black white photo living room large window sofa chair,black white scene furnish room view outlooke forest,3.0,0.4563656
1298,close brown horse blue halted,close horse wear blue halted,3.5999999046325684,0.8601955
1299,large black bird sit water,bird swim water,2.5999999046325684,0.528481
1300,close cat cream sofa,soame cat rest white sofa,3.400000095367432,0.6766747
1301,person jump bicycle perform trick,person ride dirt bike outdoor,2.25,0.54056716
1302,yellow school bus mark rural area,yellow school bus mark field,4.0,0.82178664
1303,dog wit yellow chair green dumpster,bulldog sit yellow chair large waste receptacle,3.200000047683716,0.7000079
1304,woman sit red motorcycle,white sheep stand green hill,0.0,-0.06048477
1305,sheep stand table auction,coolly sheep auction house,4.199999809265137,0.8030288
1306,close black train engine,close white sheep black head,0.0,0.06464704
1307,orange white cat asleep leather chair,orange white cat lay blanket black leather chair,4.0,0.8759672
1308,train ride track,train come track row tree,3.0,0.6601163
1309,black white cow stand grassy field,black white horn cow stand field,3.799999952316284,0.853155
1310,double hecker red united bus city street,double hecker bus drive city street,4.0,0.8697882
1311,television desk hotel room lamp lighting,television lawton computer hotel room,2.5999999046325684,0.61954415
1312,man ride small bicycle,man wheel bike,2.799999952316284,0.8224231
1313,woman wear navy dress cut cake white table,person wear helmet sit bicycle sunny day,0.4000000059604645,0.09913991
1314,black train move track,train travel track,4.0,0.75364184
1315,close picture white purple motorcycle,close picture desk computer paper,1.0,0.19443119
1316,young girl ride brown horse,woman ride brown horse,3.799999952316284,0.7761729
1317,woman kitchen look object,man suit sit table,0.0,-0.0144857615
1318,woman lose baby,woman pose baby,2.200000047683716,0.492158
1319,group people sit table contain food,people sit living room,2.799999952316284,0.4274883
1320,blue motorcycle mark sidewalk,blue move mark sidewalk,4.0,0.58064854
1321,red double hecker bus city street,red double hecker bus drive street,4.800000190734863,0.91588974
1322,train inside train station,train sit train station,2.400000095367432,0.84355867
1323,man ride white horse,woman white horse,2.200000047683716,0.58051085
1324,man woman smile camera sit blue sofa,man woman smile camera stand kitchen,2.200000047683716,0.5623185
1325,large cruise ship harbor tree,cruise ship lock coast,3.400000095367432,0.5711019
1326,cow cross road intervention,cow cross paved street,3.799999952316284,0.7199884
1327,cow grazing median road,cow grazing patch grass roadway,4.0,0.8442267
1328,black cow brown cow stand plain promote tree,black cow brown cow stand small copse tree field,4.199999809265137,0.8338576
1329,red double hecker bus drive street,double hecker bus city street,3.5999999046325684,0.8487995
1330,cow ear tag grassy field,person grassy field tend sheep,1.2000000476837158,0.27850056
1331,close end purple white motor cycle,close rear red sport car,1.2000000476837158,0.24666426
1332,woman shop clothing store,woman clothing store,4.599999904632568,0.9548662
1333,group people sit restaurant table,group people sit table restaurant,4.599999904632568,0.98996454
1334,close brown horse head,close yellow school bus,0.0,-0.013438267
1335,person red cap stand brick support beam,brown horse stand grass scrub,0.0,0.028013736
1336,bay foal walk mother grassy field,close young horse walk large horse,2.5999999046325684,0.42470354
1337,woman stand brown cow,woman glass stand cow field,3.799999952316284,0.739568
1338,dog peak truck,dog seek van,3.5999999046325684,0.5858866
1339,woman blue shift dress cutting food,woman blue dress cut cake,3.799999952316284,0.6258536
1340,black white cat look camera,grey black white cat look camera,3.5999999046325684,0.93931735
1341,brunette girl sit stop red yellow motorcycle car,couple lose red yellow motorcycle,3.200000047683716,0.5351794
1342,small white cat stand sink,grey white cat sit bathroom sink,3.5999999046325684,0.78887004
1343,man seat red tender bicycle,man tender bicycle,3.5999999046325684,0.8218195
1344,computer desk,computer operate desk,4.0,0.87278146
1345,small child smile camera,small child sit cement wall near white flower,1.600000023841858,0.3631796
1346,little bird float water,duck float water,2.400000095367432,0.6770964
1347,white bus word julia near water big ship,white bus water barge background,3.799999952316284,0.617478
1348,old blue white train track,blue train mountainous area,2.5999999046325684,0.43064392
1349,fellow boat beach,yellow boat shore,4.0,0.5694016
1350,kitchendiner paper lay blue clothe dining table,small kitchen fluttered table blue table cloth,3.400000095367432,0.677077
1351,brain station,train inside indoor station,3.799999952316284,0.39818347
1352,gray cat sit window ledge look camera,cat stand window sill look camera,4.0,0.83770484
1353,play guitar sit,red white bus drive road,0.0,0.067532405
1354,red double hecker bus drive street,double hecker bus city street,4.199999809265137,0.8487995
1355,cow graze grassy field,cow grazing field,4.599999904632568,0.8501672
1356,brown train sit railroad track,white train sit track,2.25,0.6524144
1357,black white horn cow stand field,black white photo cat sit sofa,0.4000000059604645,0.025579723
1358,tiny blonde child blue dress sit table near mother,young blonde girl wear helmet sit red bicycle,1.600000023841858,0.3010656
1359,group people sit restaurant table,group people sit table porch,2.5999999046325684,0.6282076
1360,black white cow pen hay,black white cat lie dirt,0.4000000059604645,0.08712809
1361,red double hecker bus,leave red double hecker bus,3.200000047683716,0.84419775
1362,close view horse head,view horse head,3.200000047683716,0.943591
1363,old fashioned wooden sailing ship ocean,wooden yacht ocean,3.200000047683716,0.7673195
1364,sheep stand mountainous area,large sheep stand hill,4.400000095367432,0.8433447
1365,white plane runaway,white airplane runaway,4.800000190734863,0.9261004
1366,puppy pet,puppy hold pet,4.400000095367432,0.8676481
1367,elegant dining room wood furniture,elegant pink dining room wooden furniture,3.799999952316284,0.77527666
1368,woman lay man sit sofa,man short sit sofa,2.0,0.5986747
1369,motorbike dirt track,dirt baker ride dirt hill,3.5999999046325684,0.37965012
1370,black white cat look camera,black white dog look camera,2.200000047683716,0.51501274
1371,gray cat green eye look camera,grey cat green eye look camera,5.0,0.9697974
1372,lamb stand grassy hill,dirt baker ride dirt hill,0.2000000029802322,0.16363598
1373,man white wine bottle woman red turtleneck white vest,man woman lose field bottle wine,3.0,0.43219838
1374,lone cow sit cold yard,black white cow stand field,1.7999999523162842,0.5767666
1375,double hecker bus drive city street,red double hecker bus drive street,3.5999999046325684,0.9168462
1376,large black white cat rest windowsill,small white cat sit sink,1.7999999523162842,0.58658946
1377,boy feed sheep,boy feed sheep hay,4.199999809265137,0.862106
1378,girl black desktop hold open box worn lakes carbon milk,girl wear black short boot stand blue motorcycle,0.0,0.122507766
1379,close small cactus pot,close woman hold white puppy,0.800000011920929,0.10017401
1380,white sheep stand green hill,sheep stand hillside,4.0,0.8060709
1381,black white bird body water grass background,bus road ferry wheel background,0.0,0.040313788
1382,wooden bicycle owning,group elderly people sit dining table,0.0,0.047839034
1383,black white photo dilapidated wooden fence,black white photo old wooden fence near dirty street,4.5,0.8584712
1384,brown horse stand green meadow,brown horse stand tall grass,2.5999999046325684,0.8161433
1385,man wear bike helmet,man stand bicycle outside shop,1.600000023841858,0.427472
1386,man play video game store,playing game store,3.400000095367432,0.7448238
1387,group people sit table porch,group people sit table food,3.5999999046325684,0.6769759
1388,young girl wear bike helmet bicycle background,woman hold small dog leash chair background,0.0,0.10906074
1389,stop sign stick,stop sign adorn stick,5.0,0.92617035
1390,bicycle mark outside bookstore,green bike mark outside book store,4.0,0.8175882
1391,brown double hecker tour bus street ferry wheel,double hecker bus drive ferry wheel,4.400000095367432,0.8390941
1392,black white chair sit brick wall window bamboo plant vase,black headed sheep cover thick white wool stand pasture sheep,0.6000000238418579,0.12547512
1393,man black uniform white horse,man tax white horse,3.5999999046325684,0.6045888
1394,woman stand living room black dog,woman stand living room black dog look camera,4.0,0.8403516
1395,people waddle red canoe reflect water,people waddle red canoe tree background,3.200000047683716,0.7755641
1396,close view headlight blue old fashioned car,close headlight blue car,4.0,0.8057064
1397,war drive near model building,vehicle drive infant senate building,2.400000095367432,0.25031066
1398,blue orange airplane fly landing gear,red blue plane fly landing year,2.5999999046325684,0.5719596
1399,black white cat lie blanket,black white cat sleep purple blanket,4.0,0.75433373
1400,building temporary sign entrance parking lot,road rear image tail light bus,0.2000000029802322,0.1282924
1401,group people sit table contain food,group people sit table porch,3.400000095367432,0.65074414
1402,man woman sit sofa hold small baby,woman sit sofa hold baby,3.200000047683716,0.8608241
1403,black white cat lie blanket,black white cat sleep purple blanket,3.0,0.75433373
1404,black white photo love seat,black white photo bicycle,1.7999999523162842,0.2188023
1405,living room dining table background,view living room dining room background,4.199999809265137,0.89366466
1406,red gray train go tunnel,red gray train travel tunnel tree,4.25,0.8225042
1407,red double hecker bus hood open,old red london double hecker bus hood raise,4.199999809265137,0.7047317
1408,man ride white horse,woman lead white horse,1.7999999523162842,0.5924671
1409,view living room dining room background,living room large sofas dining table background,3.799999952316284,0.78566676
1410,orange kitten lie leather couch,young couple sit black couch,0.800000011920929,0.2505013
1411,person wear bike helmet talk cell phone,person wear helmet ride bike near white structure,3.0,0.6727865
1412,subway train pull station,white train pull station,3.5999999046325684,0.7275772
1413,bicycle mark shop,green bike mark outside book store,3.799999952316284,0.75082785
1414,man stand beach,woman stand tour bus,0.0,-0.013243693
1415,long haired black dog stand grassy field,blue jay stand grassy field,1.399999976158142,0.30137593
