,sentence1,sentence2,similarity_score,common_word,rank_by_common_word,rank_by_similarity_score,d,d^2
1555,"['woman', 'sit', 'bench', 'face', 'obscure', 'woman', 'carry', 'inflammable', 'tiger', 'woman', 'kidney', 'snow', 'white', 'costume']","['girl', 'sit', 'bench', 'hold', 'inflammable', 'tiger', 'girl', 'colourful', 'outfit']",2.200000047683716,4,4549,2012,2537,6436369
1556,"['guy', 'girl', 'smile', 'camera']","['dog', 'white', 'brown', 'run', 'field', 'grass']",0.0,0,196,312,-116,13456
1557,"['dog', 'swim', 'stick', 'mouth']","['dog', 'swim', 'water', 'stick', 'mouth']",5.0,4,4407,5532,-1125,1265625
1558,"['black', 'people', 'play', 'snow']","['black', 'people', 'frolic', 'snow']",5.0,3,3110,5557,-2447,5987809
1559,"['girl', 'hold', 'scar', 'movie', 'ulcer']","['girl', 'hold', 'sack', 'stand', 'field']",1.399999976158142,2,2330,1331,999,998001
1560,"['boy', 'run', 'beach', 'play', 'game']","['young', 'boy', 'young', 'man', 'run', 'beach', 'water']",3.200000047683716,3,3040,3114,-74,5476
1561,"['girl', 'wear', 'purple', 'sash', 'watch', 'skirt']","['group', 'girl', 'stand', 'wear', 'jean', 'skirt', 'sherman', 'shirt']",1.600000023841858,3,3041,1507,1534,2353156
1562,"['man', 'wear', 'grey', 'jacket', 'stand', 'street']","['boy', 'wear', 'blue', 'life', 'jacket', 'hold', 'green', 'boat']",0.6000000238418579,2,2301,624,1677,2812329
1563,"['brown', 'black', 'dog', 'jump', 'catch', 'red', 'ball']","['brown', 'black', 'dog', 'jump', 'red', 'ball']",5.0,6,5045,5503,-458,209764
1564,"['dog', 'run', 'leave']","['white', 'dog', 'run', 'ocean']",1.7999999523162842,2,2306,1745,561,314721
1565,"['white', 'black', 'dog', 'jump', 'pool']","['woman', 'black', 'apron', 'stand', 'mirror']",0.0,1,825,316,509,259081
1566,"['black', 'white', 'dog', 'carry', 'stick', 'mouth']","['black', 'white', 'dog', 'stick', 'paw']",3.0,4,4241,2931,1310,1716100
1567,"['deer', 'jump', 'fence']","['deer', 'jump', 'fence']",5.0,3,3058,5544,-2486,6180196
1568,"['little', 'girl', 'hold', 'wooden', 'stick']","['little', 'girl', 'swim', 'pool']",2.200000047683716,2,2377,1988,389,151321
1569,"['black', 'dog', 'jump', 'water']","['dog', 'walk', 'snow']",2.400000095367432,1,821,2286,-1465,2146225
1570,"['group', 'people', 'red', 'fire', 'truck']","['group', 'people', 'stand', 'red', 'fire', 'truck']",4.199999809265137,5,4986,4707,279,77841
1571,"['boy', 'jump', 'blue', 'pool', 'water']","['young', 'boy', 'jump', 'pool', 'belly']",3.400000095367432,3,3022,3680,-658,432964
1572,"['blonde', 'dog', 'catch', 'ball', 'mouth', 'snow']","['little', 'blonde', 'girl', 'sit', 'green', 'chair']",0.0,1,818,338,480,230400
1573,"['child', 'play', 'laugh', 'floor']","['child', 'play', 'floor']",3.799999952316284,3,3024,4153,-1129,1274641
1574,"['man', 'sit', 'fishing', 'pole', 'near', 'body', 'water']","['man', 'sit', 'rock', 'fold', 'deck', 'chair', 'fishing', 'pole']",3.400000095367432,4,4281,3617,664,440896
1575,"['woman', 'dog', 'stand', 'grass']","['man', 'carry', 'sign', 'stand', 'rain']",0.0,1,817,336,481,231361
1576,"['man', 'blue', 'shirt', 'run', 'stadium', 'field']","['man', 'wear', 'blue', 'hat', 'shirt', 'ride', 'white', 'horse']",1.0,3,3032,1032,2000,4000000
1577,"['black', 'dog', 'run', 'water']","['black', 'dog', 'run', 'water']",4.800000190734863,4,4277,5384,-1107,1225449
1578,"['child', 'jump', 'trampling']","['man', 'shed', 'orange', 'slide']",0.0,0,198,333,-135,18225
1579,"['large', 'brown', 'dog', 'crouch', 'grassy', 'field']","['brown', 'dog', 'run', 'field']",3.0,3,3034,2965,69,4761
1580,"['dog', 'run', 'grass']","['dog', 'run', 'snow']",2.200000047683716,2,2353,2040,313,97969
1581,"['sky', 'speed', 'snow']","['brown', 'dog', 'carry', 'frisbee', 'run', 'snow']",0.2000000029802322,1,814,384,430,184900
1582,"['people', 'play', 'golf', 'golf', 'course']","['people', 'golf', 'course', 'play', 'golf']",5.0,4,4268,5546,-1278,1633284
1583,"['boy', 'girl', 'play', 'beach']","['dog', 'play', 'wave', 'ball']",0.800000011920929,1,813,749,64,4096
1584,"['child', 'red', 'coat', 'lay', 'red', 'mat']","['toller', 'ready', 'climb', 'red', 'piece', 'equipment']",0.800000011920929,1,812,754,58,3364
1585,"['dog', 'play', 'grass']","['dog', 'play', 'grass']",5.0,3,3092,5497,-2405,5784025
1586,"['child', 'blue', 'white', 'team', 'uniform', 'chase', 'soccer', 'ball']","['young', 'boy', 'blue', 'soccer', 'uniform', 'chase', 'ball']",4.0,5,4957,4599,358,128164
1587,"['football', 'player', 'swinge', 'pitch']","['baseball', 'player', 'hit', 'ball']",2.799999952316284,1,810,2736,-1926,3709476
1588,"['man', 'kite', 'surge', 'away', 'camera']","['man', 'sky', 'surge', 'water']",2.799999952316284,2,2248,2748,-500,250000
1589,"['black', 'dog', 'run', 'grass']","['boy', 'run', 'green', 'grass']",1.0,2,2229,1101,1128,1272384
1590,"['little', 'boy', 'little', 'girl', 'play', 'outside']","['young', 'boy', 'young', 'girl', 'walk']",2.0,2,2213,1926,287,82369
1591,"['people', 'sit', 'end', 'dock']","['people', 'sit', 'dock']",4.199999809265137,3,3106,4729,-1623,2634129
1592,"['dog', 'yard']","['dog', 'stream']",2.0,1,816,1928,-1112,1236544
1593,"['man', 'case', 'dog', 'try', 'pass', 'barrier', 'enter', 'play', 'area']","['man', 'follow', 'black', 'white', 'dog', 'take', 'obstacle', 'course']",2.200000047683716,2,2224,1979,245,60025
1594,"['large', 'brown', 'white', 'dog', 'run', 'snow']","['gerard', 'dog', 'run', 'snowy', 'field']",4.0,2,2285,4597,-2312,5345344
1595,"['bloody', 'man', 'woman', 'pose', 'picture']","['man', 'woman', 'dress', 'warmly', 'pose', 'picture']",2.0,4,4224,1930,2294,5262436
1596,"['yellow', 'dog', 'play', 'grassy', 'area', 'near', 'flower']","['girl', 'play', 'swing']",0.4000000059604645,1,827,582,245,60025
1597,"['boy', 'play', 'noble', 'pool']","['boy', 'play', 'foam', 'noble', 'toy', 'pool']",4.599999904632568,4,4223,5305,-1082,1170724
1598,"['big', 'brown', 'dog', 'run', 'snow']","['brown', 'dog', 'run', 'grass']",2.0,3,3081,1912,1169,1366561
1599,"['young', 'boy', 'jump', 'pool', 'outstretched', 'arm']","['dog', 'jump', 'backward', 'pool']",1.2000000476837158,2,2546,1149,1397,1951609
1600,"['girl', 'hold', 'yellow', 'balloon', 'animal']","['child', 'hold', 'yellow', 'balloon']",4.0,3,2670,4411,-1741,3031081
1601,"['dog', 'share', 'toy', 'field', 'vegetation']","['snowboarder', 'air', 'snow']",0.1700000017881393,0,201,371,-170,28900
1602,"['blood', 'haired', 'lady', 'white', 'pose', 'camera']","['black', 'white', 'dog', 'run', 'mouth', 'open']",0.0,1,840,356,484,234256
1603,"['dog', 'run', 'field', 'chase', 'ball']","['child', 'run', 'grass']",0.2000000029802322,1,839,381,458,209764
1604,"['girl', 'sit', 'statue']","['blonde', 'girl', 'sit', 'statue']",3.799999952316284,3,2655,4144,-1489,2217121
1605,"['girl', 'orange', 'light', 'candle']","['girl', 'orange', 'shirt', 'light', 'candle']",4.0,4,4210,4595,-385,148225
1606,"['white', 'dog', 'run', 'field', 'yellow', 'flower']","['dog', 'red', 'collar', 'run', 'forest', 'middle', 'winter']",1.600000023841858,2,2284,1487,797,635209
1607,"['infant', 'sit', 'cot', 'reach', 'touch', 'face', 'old', 'boy']","['boy', 'ill', 'touch', 'face', 'toller']",2.200000047683716,3,2643,1983,660,435600
1608,"['dog', 'shake', 'water']","['dog', 'shake', 'water']",5.0,3,2689,5499,-2810,7896100
1609,"['young', 'boy', 'run', 'pavement']","['black', 'dog', 'run', 'edge', 'ocean']",0.5,1,835,609,226,51076
1610,"['young', 'child', 'side', 'orange', 'slide']","['little', 'boy', 'denis', 'overall', 'side', 'orange', 'slide']",3.670000076293945,3,2691,3986,-1295,1677025
1611,"['black', 'white', 'dog', 'run', 'red', 'white', 'pole']","['black', 'white', 'dog', 'living', 'room', 'stand', 'hind', 'leg']",1.600000023841858,3,2714,1486,1228,1507984
1612,"['individual', 'lose', 'skin', 'skin', 'sign']","['people', 'skin', 'stand', 'skin', 'sign']",4.400000095367432,2,2344,4967,-2623,6880129
1613,"['man', 'white', 'suit', 'walk', 'street', 'hold', 'newspaper']","['man', 'white', 'suit', 'walk', 'outside', 'carry', 'newspaper']",4.599999904632568,5,4840,5302,-462,213444
1614,"['black', 'dog', 'blue', 'collar', 'run', 'snow']","['black', 'dog', 'wear', 'blue', 'collar', 'run', 'snow']",5.0,6,5096,5495,-399,159201
1615,"['dog', 'run', 'camera']","['brown', 'white', 'dog', 'run', 'grass']",0.800000011920929,2,2357,826,1531,2343961
1616,"['boy', 'swinge', 'swing']","['girl', 'swing']",2.400000095367432,1,829,2303,-1474,2172676
1617,"['group', 'youngster', 'swim', 'lake', 'water']","['child', 'play', 'swim', 'water']",4.400000095367432,2,2376,4961,-2585,6682225
1618,"['blue', 'white', 'soccer', 'team', 'play']","['hopeless', 'woman', 'face', 'paint', 'cover', 'mud']",0.0,0,202,273,-71,5041
1619,"['brown', 'dog', 'catch', 'green', 'frisbee']","['brown', 'dog', 'wait', 'frisbee', 'come', 'catch']",3.799999952316284,4,4375,4147,228,51984
1620,"['black', 'white', 'dog', 'swim', 'large', 'green', 'lake']","['black', 'dog', 'run', 'fast', 'shallow', 'water']",2.200000047683716,2,2364,2035,329,108241
1621,"['large', 'black', 'dog', 'play', 'grassy', 'field']","['white', 'dog', 'run']",2.200000047683716,1,881,2032,-1151,1324801
1622,"['brown', 'black', 'dog', 'splint', 'snow']","['black', 'dog', 'run', 'quickly', 'ground']",2.799999952316284,2,2363,2746,-383,146689
1623,"['man', 'backpack', 'look', 'left']","['adult', 'male', 'wear', 'backpack', 'walk', 'look', 'left']",3.799999952316284,3,2808,4148,-1340,1795600
1624,"['elderly', 'man', 'blue', 'shirt', 'hold', 'piece', 'canvas', 'art']","['black', 'man', 'walk', 'building', 'big', 'city']",0.0,1,952,278,674,454276
1625,"['skinny', 'young', 'boy', 'play', 'sand', 'water']","['dog', 'shake', 'water']",0.4000000059604645,1,882,588,294,86436
1626,"['small', 'dog', 'run', 'obstacle', 'course']","['small', 'dog', 'jump', 'obstacle']",3.799999952316284,3,2799,4149,-1350,1822500
1627,"['brown', 'dog', 'run', 'wood']","['brown', 'dog', 'run', 'grass']",3.200000047683716,3,2798,3087,-289,83521
1628,"['group', 'people', 'stand', 'window', 'watch']","['group', 'people', 'stand', 'wait']",3.400000095367432,3,2730,3547,-817,667489
1629,"['dog', 'jump', 'barrier', 'agility', 'competition']","['dog', 'jump', 'obstacle', 'course', 'fence']",4.400000095367432,2,2321,5009,-2688,7225344
1630,"['people', 'race', 'ice', 'state']","['ice', 'state', 'round', 'corner']",3.200000047683716,2,2317,3085,-768,589824
1631,"['woman', 'contestant', 'walk', 'dog', 'dog']","['woman', 'walk', 'dog', 'dog']",4.800000190734863,3,2748,5345,-2597,6744409
1632,"['man', 'barge']","['man', 'lie', 'grass', 'long', 'hair', 'beard']",0.0,1,931,283,648,419904
1633,"['brown', 'dog', 'run', 'grass']","['brown', 'dog', 'run', 'grass']",4.800000190734863,4,4391,5383,-992,984064
1634,"['person', 'ride', 'bike', 'trail', 'wood']","['small', 'child', 'yellow', 'shirt', 'hold', 'arm', 'side']",0.4000000059604645,0,203,572,-369,136161
1635,"['woman', 'black', 'dress', 'smile', 'silver', 'truck']","['girl', 'wear', 'black', 'smile', 'silver', 'truck', 'background']",3.5999999046325684,4,4317,3974,343,117649
1636,"['dog', 'beach', 'near', 'ball']","['guy', 'go', 'lay', 'basketball', 'court']",0.6000000238418579,0,204,655,-451,203401
1637,"['dog', 'bound', 'brown', 'grass']","['dog', 'bind', 'grass']",2.5999999046325684,2,2461,2483,-22,484
1638,"['woman', 'play', 'young', 'boy', 'park']","['woman', 'kiss', 'play', 'park']",3.200000047683716,3,2732,3079,-347,120409
1639,"['dog', 'emerge', 'form', 'water', 'stick', 'mouth']","['dog', 'run', 'camera', 'stick', 'mouth']",2.400000095367432,3,2780,2232,548,300304
1640,"['dog', 'play', 'snow']","['boy', 'play', 'sand']",0.800000011920929,1,929,786,143,20449
1641,"['dog', 'carry', 'leash', 'mouth']","['fluffy', 'dog', 'carry', 'black', 'leash', 'mouth']",4.199999809265137,4,4337,4708,-371,137641
1642,"['man', 'jean', 'play', 'ball', 'woman', 'jeans', 'stand', 'nearby', 'look', 'away']","['man', 'tie', 'red', 'arm', 'band', 'man', 'arm', 'street']",0.0,1,927,335,592,350464
1643,"['sky', 'fall', 'snow']","['sky', 'fall', 'face', 'snow']",4.0,3,3770,4587,-817,667489
1644,"['dog', 'red', 'toy', 'mouth']","['brown', 'dog', 'carry', 'stick', 'mouth']",2.200000047683716,2,2538,2056,482,232324
1645,"['hockey', 'player', 'fight', 'ice']","['hockey', 'player', 'struggle', 'ice']",4.800000190734863,3,3749,5382,-1633,2666689
1646,"['barrier', 'play', 'wood', 'floor', 'home']","['supply', 'play', 'red', 'chew', 'toy', 'field']",1.600000023841858,1,933,1476,-543,294849
1647,"['dog', 'run', 'field']","['dog', 'play', 'field']",4.199999809265137,2,2396,4725,-2329,5424241
1648,"['man', 'gray', 'suit', 'lock', 'bicycle']","['man', 'woman', 'stand', 'city', 'street']",0.4000000059604645,1,926,459,467,218089
1649,"['man', 'black', 'leather', 'jacket', 'sleep', 'subway', 'car']","['man', 'black', 'leather', 'jacket', 'fall', 'asleep', 'public', 'transportation']",4.599999904632568,4,4307,5297,-990,980100
1650,"['dog', 'leap', 'hardly']","['dog', 'leap', 'hardly']",4.800000190734863,3,3648,5390,-1742,3034564
1651,"['man', 'set', 'electronic', 'equipment']","['dog', 'wrest', 'ground', 'snow']",0.0,0,205,343,-138,19044
1652,"['black', 'dog', 'walk', 'grass', 'stick', 'mouth']","['boy', 'hold', 'net', 'snake', 'close', 'ground']",0.0,0,206,313,-107,11449
1653,"['girl', 'run', 'dog', 'dry', 'field']","['grey', 'dog', 'dog', 'play', 'grassy', 'field']",2.200000047683716,2,2168,2047,121,14641
1654,"['dog', 'play', 'snow']","['black', 'dog', 'snow']",4.0,2,2063,4620,-2557,6538249
1655,"['dog', 'leap', 'dock', 'water']","['black', 'dog', 'leap', 'dock', 'water']",4.0,4,4378,4614,-236,55696
1656,"['group', 'old', 'man', 'walk', 'street']","['couple', 'walk', 'street']",2.0,2,2314,1935,379,143641
1657,"['dog', 'stand', 'snow', 'blue', 'fence']","['dog', 'play', 'shallow', 'rocky', 'shore']",2.200000047683716,1,923,2044,-1121,1256641
1658,"['black', 'white', 'dog', 'run', 'field']","['black', 'white', 'dog', 'run', 'grass']",4.800000190734863,4,4351,5370,-1019,1038361
1659,"['boy', 'black', 'wave', 'arm', 'people', 'field']","['man', 'black', 'shirt', 'roller', 'blaze', 'past', 'bench', 'city']",0.4000000059604645,1,922,482,440,193600
1660,"['elderly', 'woman', 'ride', 'bicycle', 'city', 'street']","['elderly', 'woman', 'walk', 'uphill', 'cross', 'street']",2.0,3,3714,1950,1764,3111696
1661,"['young', 'boy', 'munch', 'yellow', 'ball']","['small', 'dog', 'jump', 'yellow', 'beam']",0.4000000059604645,1,921,474,447,199809
1662,"['group', 'young', 'ballerina', 'dance', 'studio']","['group', 'young', 'lady', 'bikinis']",1.399999976158142,2,2341,1336,1005,1010025
1663,"['young', 'boy', 'white', 'dress', 'shirt', 'play', 'grassy', 'plain']","['woman', 'get', 'hair', 'salon']",0.0,0,207,315,-108,11664
1664,"['man', 'dog', 'play', 'tug', 'war']","['man', 'dance', 'colourful', 'wall']",0.4000000059604645,1,920,479,441,194481
1665,"['wet', 'child', 'shiver', 'towel', 'pool']","['wet', 'child', 'shiver', 'towel', 'pool']",4.599999904632568,5,4761,5289,-528,278784
1666,"['white', 'dog', 'run', 'beach']","['white', 'dog', 'run', 'beach']",5.0,4,4363,5548,-1185,1404225
1667,"['dog', 'run', 'sandy', 'beach']","['dog', 'walk', 'beach']",3.400000095367432,2,2263,3627,-1364,1860496
1668,"['man', 'hold', 'handle', 'water']","['man', 'hold', 'candle', 'air']",3.200000047683716,2,2255,3105,-850,722500
1669,"['white', 'dog', 'walk', 'snow']","['black', 'dog', 'walk', 'snow']",3.0,3,3772,2942,830,688900
1670,"['white', 'brown', 'dog', 'run', 'grass']","['dog', 'run', 'grass']",3.200000047683716,3,3766,3111,655,429025
1671,"['boy', 'go', 'inflammable', 'slide']","['boy', 'red', 'side', 'inflammable', 'ride']",3.799999952316284,2,2246,4155,-1909,3644281
1672,"['dog', 'play', 'ball', 'puddle']","['dog', 'stand', 'puddle', 'yellow', 'tennis', 'ball']",3.799999952316284,3,3342,4156,-814,662596
1673,"['dog', 'play', 'water']","['dog', 'run', 'snow']",1.399999976158142,1,934,1334,-400,160000
1674,"['dog', 'play', 'snow']","['kiss', 'play', 'dog']",1.2000000476837158,2,2352,1108,1244,1547536
1675,"['girl', 'bend', 'beach']","['girl', 'bend', 'beach']",4.800000190734863,3,3350,5361,-2011,4044121
1676,"['dog', 'play', 'fetch', 'snow']","['dog', 'play', 'grass']",2.200000047683716,2,2348,1976,372,138384
1677,"['suffer', 'ride', 'small', 'wave']","['suffer', 'perform', 'trick', 'wave']",3.5999999046325684,2,2323,3958,-1635,2673225
1678,"['people', 'walk', 'beach', 'sunset']","['people', 'walk', 'shore', 'sunset']",5.0,3,3358,5550,-2192,4804864
1679,"['supply', 'play', 'grass']","['dog', 'wrest', 'grass']",4.0,1,936,4607,-3671,13476241
1680,"['young', 'girl', 'sit', 'santa', 'lap']","['little', 'girl', 'sit', 'santa', 'lap']",4.800000190734863,4,4273,5350,-1077,1159929
1681,"['black', 'white', 'dog', 'run', 'mouth', 'open']","['black', 'white', 'dog', 'swim', 'blue', 'water']",2.200000047683716,3,3236,1972,1264,1597696
1682,"['young', 'boy', 'jump', 'air', 'beach']","['boy', 'jump', 'air', 'beach']",4.800000190734863,4,4262,5396,-1134,1285956
1683,"['man', 'tuxedo', 'walk', 'step']","['man', 'tuxedo', 'walk', 'set', 'step']",5.0,4,4239,5554,-1315,1729225
1684,"['red', 'short', 'white', 'shirt', 'kick', 'soccer', 'ball']","['black', 'dog', 'stand', 'surf', 'hold', 'red', 'rubber', 'ball']",0.0,2,2203,322,1881,3538161
1685,"['man', 'dog', 'rocky', 'seashore']","['dog', 'stand', 'rock', 'water']",4.800000190734863,1,950,5458,-4508,20322064
1686,"['grown', 'dog', 'splash', 'water']","['dog', 'splash', 'water']",2.400000095367432,3,3291,2269,1022,1044484
1687,"['smile', 'woman', 'beach', 'bury', 'seated']","['girl', 'cowboy', 'hat', 'sheep', 'leash']",1.0,0,190,899,-709,502681
1688,"['dog', 'big', 'ear', 'hold', 'small', 'stick', 'mouth']","['puppy', 'big', 'ear', 'chew', 'stick']",3.799999952316284,3,3304,4158,-854,729316
1689,"['large', 'brown', 'dog', 'jump', 'tall', 'grass']","['girl', 'wear', 'blue', 'shirt', 'run', 'science', 'center']",0.0,0,208,311,-103,10609
1690,"['dog', 'fight', 'snow']","['dog', 'play', 'snow']",2.5999999046325684,2,2199,2398,-199,39601
1691,"['brown', 'dog', 'middle', 'line', 'dog', 'chase', 'dirty', 'tennis', 'ball', 'dirt']","['white', 'dog', 'brown', 'dog', 'chase', 'ball']",2.799999952316284,4,4250,2691,1559,2430481
1692,"['grey', 'hound', 'active', 'grassy', 'field']","['bunch', 'bite', 'race', 'track']",0.0,0,189,327,-138,19044
1693,"['people', 'race', 'sidecar', 'motorcycle', 'mud']","['dog', 'carry', 'long', 'stick', 'mouth']",0.0,0,187,328,-141,19881
1694,"['man', 'sit', 'rocky', 'mountain']","['person', 'stick', 'head', 'tent', 'mountain']",2.400000095367432,1,944,2274,-1330,1768900
1695,"['man', 'stand', 'boat', 'pull', 'boat', 'close', 'bamboo', 'stick']","['man', 'black', 'hat', 'standing', 'brick', 'wall', 'sign']",0.0,1,943,341,602,362404
1696,"['man', 'play', 'white', 'guitar']","['man', 'play', 'white', 'guitar', 'singing']",3.200000047683716,4,4251,3187,1064,1132096
1697,"['person', 'skijore', 'dog', 'mountain']","['brown', 'dog', 'play', 'ball', 'water']",0.0,1,941,340,601,361201
1698,"['shortness', 'young', 'people', 'play', 'water']","['lot', 'people', 'play', 'water', 'beach']",2.400000095367432,3,3294,2304,990,980100
1699,"['close', 'hummingbird']","['close', 'hummingbird', 'flying']",3.5999999046325684,2,2194,3942,-1748,3055504
1700,"['woman', 'black', 'dress', 'walk', 'street']","['woman', 'watch', 'dog', 'jump', 'stair']",0.800000011920929,1,939,872,67,4489
1701,"['man', 'woman', 'look', 'camera']","['man', 'woman', 'laugh']",2.3299999237060547,2,2193,2166,27,729
1702,"['brown', 'dog', 'run', 'dirty', 'muddy', 'grass']","['large', 'brown', 'dog', 'run', 'outside', 'dirt']",3.5999999046325684,3,3298,3944,-646,417316
1703,"['dog', 'pull', 'man', 'bicycle', 'snow']","['dog', 'pull', 'man', 'type', 'bike', 'snow']",5.0,4,4253,5505,-1252,1567504
1704,"['baby', 'red', 'hat', 'sit', 'strolled', 'hold', 'doll']","['man', 'gray', 'shirt', 'sit', 'field', 'flower']",0.0,1,937,337,600,360000
1705,"['child', 'play', 'hay', 'outdoor', 'throw', 'camera', 'lens']","['young', 'child', 'play', 'hay', 'throw', 'camera']",4.800000190734863,5,4731,5478,-747,558009
1706,"['climber', 'stand', 'rock', 'face', 'pink', 'rope']","['child', 'run', 'snow', 'fence', 'background']",0.0,0,171,330,-159,25281
1707,"['black', 'dog', 'wear', 'orange', 'collar', 'entangle', 'fishing', 'wire']","['black', 'dog', 'wear', 'red', 'collar', 'shake', 'water']",1.7999999523162842,4,4254,1755,2499,6245001
1708,"['dog', 'play', 'dirt']","['dancer', 'lose', 'camera', 'red', 'white', 'dress']",0.0,0,172,329,-157,24649
1709,"['golden', 'dog', 'run', 'grass']","['large', 'beige', 'dog', 'run', 'grass']",3.400000095367432,3,3303,3518,-215,46225
1710,"['dog', 'run', 'grass']","['dog', 'run', 'grass']",4.800000190734863,3,3280,5473,-2193,4809249
1711,"['man', 'red', 'short', 'walk', 'rock', 'river', 'carry', 'stick']","['man', 'walk', 'rock', 'water', 'flow']",3.400000095367432,3,3278,3521,-243,59049
1712,"['rowing', 'boat']","['man', 'trick', 'skateboard']",0.0,0,173,308,-135,18225
1713,"['dog', 'run', 'racetrack']","['dog', 'round', 'bend', 'racetrack']",4.800000190734863,2,2139,5467,-3328,11075584
1714,"['black', 'brown', 'dog', 'walk', 'snow', 'near', 'building']","['old', 'man', 'stand', 'outside', 'old', 'board', 'building']",0.800000011920929,1,898,758,140,19600
1715,"['dog', 'jump', 'swimming', 'pool', 'duck']","['dog', 'jump', 'swimming', 'pool']",3.400000095367432,4,4259,3540,719,516961
1716,"['dog', 'run', 'forest', 'winter', 'time']","['dog', 'run', 'lot', 'twig']",3.200000047683716,2,2136,3180,-1044,1089936
1717,"['girl', 'play', 'image', 'big', 'screen']","['girl', 'hold', 'umbrella', 'back', 'camera']",0.4000000059604645,1,896,571,325,105625
1718,"['people', 'run', 'race', 'street']","['puppy', 'run', 'street']",1.0,2,2135,1008,1127,1270129
1719,"['man', 'swimming', 'trunk', 'stand', 'rock']","['man', 'gray', 'shirt', 'limb', 'large', 'rock', 'wall']",1.0,2,2134,1018,1116,1245456
1720,"['white', 'dog', 'walk', 'snow']","['dog', 'black', 'collar', 'barking', 'snow']",2.0,2,2133,1893,240,57600
1721,"['woman', 'wear', 'pink', 'shirt', 'jump', 'air', 'arm', 'leg', 'spread', 'side']","['man', 'wear', 'suspend', 'sunglasse', 'leap', 'air', 'arm', 'leg', 'spread']",2.400000095367432,5,4733,2278,2455,6027025
1722,"['dog', 'run', 'grass']","['dog', 'run', 'brush']",2.799999952316284,2,2130,2722,-592,350464
1723,"['dog', 'run', 'sand']","['dog', 'run', 'water']",2.799999952316284,2,2145,2655,-510,260100
1724,"['woman', 'attempt', 'ride', 'small', 'wave']","['man', 'woman', 'sit', 'outside', 'sun']",0.0,1,892,272,620,384400
1725,"['black', 'white', 'dog', 'swim', 'river']","['black', 'man', 'dog', 'beach']",0.6000000238418579,2,2147,678,1469,2157961
1726,"['standing', 'jagged', 'rock', 'near', 'ocean']","['man', 'stand', 'rock', 'overlook', 'ocean']",4.599999904632568,2,2148,5281,-3133,9815689
1727,"['girl', 'black', 'blue', 'wet', 'suit', 'surge']","['woman', 'wear', 'black', 'blue', 'stripe', 'suit', 'surge', 'wave']",4.400000095367432,4,4348,5010,-662,438244
1728,"['woman', 'lead', 'dog', 'obstacle', 'course']","['woman', 'lead', 'small', 'dog', 'obstacle', 'course']",4.599999904632568,5,4734,5280,-546,298116
1729,"['dog', 'beach']","['dog', 'walk', 'beach']",2.400000095367432,2,2163,2275,-112,12544
1730,"['young', 'boy', 'stand', 'gray', 'tile', 'area']","['young', 'boy', 'practice', 'rate', 'grm']",1.0,2,2162,970,1192,1420864
1731,"['dog', 'run', 'food', 'mouth']","['dog', 'run', 'yellow', 'ball', 'mouth']",2.200000047683716,3,3265,2123,1142,1304164
1732,"['dog', 'run', 'beach']","['dog', 'run', 'beach']",4.800000190734863,3,3267,5446,-2179,4748041
1733,"['black', 'white', 'dog', 'swim', 'pool']","['black', 'white', 'dog', 'run', 'mouth']",2.0,3,3269,1894,1375,1890625
1734,"['dog', 'head', 'inside', 'red', 'green', 'gift', 'bag']","['pet', 'playfully', 'investigate', 'content', 'gift', 'bag']",3.799999952316284,2,2154,4162,-2008,4032064
1735,"['yellow', 'skirt', 'man', 'wear', 'golden', 'sun', 'mask']","['man', 'yellow', 'shirt', 'wear', 'gold', 'sun', 'shape', 'mask']",5.0,5,4732,5524,-792,627264
1736,"['man', 'call', 'sheer', 'rock', 'face', 'rope', 'support']","['young', 'man', 'ski', 'jump', 'purple', 'board']",0.4000000059604645,1,885,545,340,115600
1737,"['child', 'hand', 'head']","['little', 'boy', 'stand', 'hand', 'head']",4.199999809265137,2,2152,4763,-2611,6817321
1738,"['man', 'wear', 'orange', 'vest', 'can', 'blue', 'water']","['man', 'orange', 'jacket', 'raise', 'hand', 'sky', 'sand']",1.7999999523162842,2,2151,1714,437,190969
1739,"['old', 'man', 'black', 'trench', 'coat', 'stand', 'marketplace']","['baby', 'wear', 'red', 'shirt', 'walk', 'place']",1.2000000476837158,0,176,1139,-963,927369
1740,"['man', 'climb', 'cliff', 'face']","['man', 'limb', 'sheer', 'cliff', 'face']",4.800000190734863,3,3275,5437,-2162,4674244
1741,"['girl', 'panama', 'part', 'appear', 'dance']","['girl', 'baseball', 'cap', 'eat', 'snack', 'outside']",0.6000000238418579,1,883,719,164,26896
1742,"['white', 'brown', 'dog', 'play', 'black', 'toy']","['white', 'brown', 'dog', 'play', 'tug', 'o', 'war']",3.400000095367432,4,4553,3527,1026,1052676
1743,"['boy', 'play', 'baseball']","['man', 'play', 'baseball']",3.0,2,2378,2941,-563,316969
1744,"['boy', 'wear', 'red', 'shirt', 'run', 'grass', 'furry', 'dog']","['sport', 'fan', 'wear', 'face', 'paint', 'stand']",0.0,1,907,354,553,305809
1745,"['black', 'dog', 'retrieve', 'snow']","['skateboarder', 'jump', 'street']",0.0,0,177,365,-188,35344
1746,"['smile', 'man', 'baby', 'girl', 'lose', 'photo']","['smile', 'man', 'hold', 'small', 'child', 'wear', 'pink', 'red']",3.200000047683716,2,2618,3172,-554,306916
